date_time,soil_moisture,soil_moisture_flag,soil_moisture_orig_flag
2023-07-28 07:00:00,0.4013,G,M
2023-07-28 08:00:00,0.4129,G,M
2023-07-28 09:00:00,0.4273,G,M
2023-07-28 10:00:00,0.356,G,M
2023-07-28 11:00:00,0.3601,G,M
2023-07-28 12:00:00,0.3932,G,M
2023-07-28 13:00:00,0.3579,G,M
2023-07-28 14:00:00,0.3707,G,M
2023-07-28 15:00:00,0.3821,G,M
2023-07-28 16:00:00,0.4089,G,M
2023-07-28 17:00:00,0.34,G,M
2023-07-28 18:00:00,0.3855,G,M
2023-07-28 19:00:00,0.4126,G,M
2023-07-28 20:00:00,0.3579,G,M
2023-07-28 21:00:00,0.3932,G,M
2023-07-28 22:00:00,0.4014,G,M
2023-07-28 23:00:00,0.3412,G,M
2023-07-29 00:00:00,0.4249,G,M
2023-07-29 01:00:00,0.41,G,M
2023-07-29 02:00:00,0.3379,G,M
2023-07-29 03:00:00,0.3526,G,M
2023-07-29 04:00:00,0.3367,G,M
2023-07-29 05:00:00,0.3379,G,M
2023-07-29 06:00:00,0.3725,G,M
2023-07-29 07:00:00,0.3617,G,M
2023-07-29 08:00:00,0.4049,G,M
2023-07-29 09:00:00,0.3822,G,M
2023-07-29 10:00:00,0.3316,G,M
2023-07-29 11:00:00,0.3994,G,M
2023-07-29 12:00:00,0.3712,G,M
2023-07-29 13:00:00,0.4003,G,M
2023-07-29 14:00:00,0.3712,G,M
2023-07-29 15:00:00,0.3641,G,M
2023-07-29 16:00:00,0.4061,G,M
2023-07-29 17:00:00,0.3811,G,M
2023-07-29 18:00:00,0.3888,G,M
2023-07-29 19:00:00,0.4022,G,M
2023-07-29 20:00:00,0.4235,G,M
2023-07-29 21:00:00,0.425,G,M
2023-07-29 22:00:00,0.3228,G,M
2023-07-29 23:00:00,0.3414,G,M
2023-07-30 00:00:00,0.3305,G,M
2023-07-30 01:00:00,0.3466,G,M
2023-07-30 02:00:00,0.4137,G,M
2023-07-30 03:00:00,0.3737,G,M
2023-07-30 04:00:00,0.3654,G,M
2023-07-30 05:00:00,0.4022,G,M
2023-07-30 06:00:00,0.3485,G,M
2023-07-30 07:00:00,0.3663,G,M
2023-07-30 08:00:00,0.3521,G,M
2023-07-30 09:00:00,0.3403,G,M
2023-07-30 10:00:00,0.3782,G,M
2023-07-30 11:00:00,0.3521,G,M
2023-07-30 12:00:00,0.3616,G,M
2023-07-30 13:00:00,0.4045,G,M
2023-07-30 14:00:00,0.3836,G,M
2023-07-30 15:00:00,0.3356,G,M
2023-07-30 16:00:00,0.38,G,M
2023-07-30 17:00:00,0.352,G,M
2023-07-30 18:00:00,0.4279,G,M
2023-07-30 19:00:00,0.3931,G,M
2023-07-30 20:00:00,0.352,G,M
2023-07-30 21:00:00,0.3764,G,M
2023-07-30 22:00:00,0.3956,G,M
2023-07-30 23:00:00,0.3536,G,M
2023-07-31 00:00:00,0.3231,G,M
2023-07-31 01:00:00,0.3277,G,M
2023-07-31 02:00:00,0.3659,G,M
2023-07-31 03:00:00,0.3324,G,M
2023-07-31 04:00:00,0.3694,G,M
2023-07-31 05:00:00,0.3403,G,M
2023-07-31 06:00:00,0.332,G,M
2023-07-31 07:00:00,0.3371,G,M
2023-07-31 08:00:00,0.3758,G,M
2023-07-31 09:00:00,0.3758,G,M
2023-07-31 10:00:00,0.3289,G,M
2023-07-31 11:00:00,0.3617,G,M
2023-07-31 12:00:00,0.3845,G,M
2023-07-31 13:00:00,0.3248,G,M
2023-07-31 14:00:00,0.3595,G,M
2023-07-31 15:00:00,0.3883,G,M
2023-07-31 16:00:00,0.3429,G,M
2023-07-31 17:00:00,0.414,G,M
2023-07-31 18:00:00,0.3808,G,M
2023-07-31 19:00:00,0.3588,G,M
2023-07-31 20:00:00,0.3811,G,M
2023-07-31 21:00:00,0.329,G,M
2023-07-31 22:00:00,0.3432,G,M
2023-07-31 23:00:00,0.3707,G,M
2023-08-01 00:00:00,0.3481,G,M
2023-08-01 01:00:00,0.3309,G,M
2023-08-01 02:00:00,0.3556,G,M
2023-08-01 03:00:00,0.3527,G,M
2023-08-01 04:00:00,0.4019,G,M
2023-08-01 05:00:00,0.3335,G,M
2023-08-01 06:00:00,0.3321,G,M
