date_time,soil_temperature,soil_temperature_flag,soil_temperature_orig_flag
2011-11-03 22:00:00,13.5727,G,M
2011-11-03 23:00:00,12.8895,G,M
2011-11-04 00:00:00,11.6931,G,M
2011-11-04 01:00:00,10.5589,G,M
2011-11-04 02:00:00,9.64429,G,M
2011-11-04 03:00:00,8.9099,G,M
2011-11-04 04:00:00,8.26021,G,M
2011-11-04 05:00:00,7.69176,G,M
2011-11-04 06:00:00,7.27633,G,M
2011-11-04 07:00:00,6.88594,G,M
2011-11-04 08:00:00,6.5045,G,M
2011-11-04 09:00:00,6.13691,G,M
2011-11-04 10:00:00,5.81524,G,M
2011-11-04 11:00:00,5.49177,G,M
2011-11-04 12:00:00,5.22583,G,M
2011-11-04 13:00:00,4.97954,G,M
2011-11-04 14:00:00,4.86059,G,M
2011-11-04 15:00:00,6.00449,G,M
2011-11-04 16:00:00,8.04441,G,M
2011-11-04 17:00:00,10.3829,G,M
2011-11-04 18:00:00,12.7144,G,M
2011-11-04 19:00:00,14.4836,G,M
2011-11-04 20:00:00,15.5708,G,M
2011-11-04 21:00:00,15.8855,G,M
2011-11-04 22:00:00,15.1921,G,M
2011-11-04 23:00:00,14.329,G,M
2011-11-05 00:00:00,12.9884,G,M
2011-11-05 01:00:00,11.7827,G,M
2011-11-05 02:00:00,11.0517,G,M
2011-11-05 03:00:00,10.6185,G,M
2011-11-05 04:00:00,10.1874,G,M
2011-11-05 05:00:00,9.69773,G,M
2011-11-05 06:00:00,9.51254,G,M
2011-11-05 07:00:00,9.39349,G,M
2011-11-05 08:00:00,9.27007,G,M
2011-11-05 09:00:00,9.17085,G,M
2011-11-05 10:00:00,9.08845,G,M
2011-11-05 11:00:00,9.03839,G,M
2011-11-05 12:00:00,8.99321,G,M
2011-11-05 13:00:00,8.94069,G,M
2011-11-05 14:00:00,8.94657,G,M
2011-11-05 15:00:00,9.4241,G,M
2011-11-05 16:00:00,10.5277,G,M
2011-11-05 17:00:00,12.0996,G,M
2011-11-05 18:00:00,13.7001,G,M
2011-11-05 19:00:00,14.809,G,M
2011-11-05 20:00:00,15.6846,G,M
2011-11-05 21:00:00,15.4847,G,M
2011-11-05 22:00:00,14.8403,G,M
2011-11-05 23:00:00,14.3959,G,M
2011-11-06 00:00:00,13.546,G,M
2011-11-06 01:00:00,12.7972,G,M
2011-11-06 02:00:00,12.2963,G,M
2011-11-06 03:00:00,11.9582,G,M
2011-11-06 04:00:00,11.8207,G,M
2011-11-06 05:00:00,11.763,G,M
2011-11-06 06:00:00,11.743,G,M
2011-11-06 07:00:00,11.7452,G,M
2011-11-06 08:00:00,11.7415,G,M
2011-11-06 09:00:00,11.7386,G,M
2011-11-06 10:00:00,11.6303,G,M
2011-11-06 11:00:00,11.5545,G,M
2011-11-06 12:00:00,11.4701,G,M
2011-11-06 13:00:00,11.2479,G,M
2011-11-06 14:00:00,10.984,G,M
2011-11-06 15:00:00,11.7996,G,M
2011-11-06 16:00:00,13.181,G,M
2011-11-06 17:00:00,15.4509,G,M
2011-11-06 18:00:00,17.7212,G,M
2011-11-06 19:00:00,19.2413,G,M
2011-11-06 20:00:00,19.847,G,M
2011-11-06 21:00:00,19.9517,G,M
2011-11-06 22:00:00,19.44,G,M
2011-11-06 23:00:00,18.2382,G,M
2011-11-07 00:00:00,16.5987,G,M
2011-11-07 01:00:00,15.0217,G,M
2011-11-07 02:00:00,13.9364,G,M
2011-11-07 03:00:00,13.174,G,M
2011-11-07 04:00:00,12.5062,G,M
2011-11-07 05:00:00,11.9271,G,M
2011-11-07 06:00:00,11.4403,G,M
2011-11-07 07:00:00,11.0489,G,M
2011-11-07 08:00:00,10.8702,G,M
2011-11-07 09:00:00,11.6008,G,M
2011-11-07 10:00:00,12.1263,G,M
2011-11-07 11:00:00,12.4464,G,M
2011-11-07 12:00:00,12.6599,G,M
2011-11-07 13:00:00,12.7243,G,M
2011-11-07 14:00:00,13.0168,G,M
2011-11-07 15:00:00,13.4703,G,M
2011-11-07 16:00:00,13.8398,G,M
2011-11-07 17:00:00,14.1939,G,M
2011-11-07 18:00:00,14.5299,G,M
2011-11-07 19:00:00,15.2005,G,M
2011-11-07 20:00:00,15.6279,G,M
2011-11-07 21:00:00,15.735,G,M
2011-11-07 22:00:00,15.635,G,M
2011-11-07 23:00:00,15.5806,G,M
2011-11-08 00:00:00,15.0953,G,M
2011-11-08 01:00:00,14.7139,G,M
2011-11-08 02:00:00,14.4091,G,M
2011-11-08 03:00:00,14.0491,G,M
2011-11-08 04:00:00,13.9077,G,M
2011-11-08 05:00:00,13.861,G,M
2011-11-08 06:00:00,13.8718,G,M
2011-11-08 07:00:00,13.872,G,M
2011-11-08 08:00:00,13.9371,G,M
2011-11-08 09:00:00,13.6906,G,M
2011-11-08 10:00:00,12.9737,G,M
2011-11-08 11:00:00,12.4484,G,M
2011-11-08 12:00:00,12.0397,G,M
2011-11-08 13:00:00,11.5644,G,M
2011-11-08 14:00:00,11.3561,G,M
2011-11-08 15:00:00,11.545,G,M
2011-11-08 16:00:00,11.8998,G,M
2011-11-08 17:00:00,12.0042,G,M
2011-11-08 18:00:00,12.22,G,M
2011-11-08 19:00:00,12.0627,G,M
2011-11-08 20:00:00,11.9104,G,M
2011-11-08 21:00:00,11.9721,G,M
2011-11-08 22:00:00,11.8558,G,M
2011-11-08 23:00:00,11.5603,G,M
2011-11-09 00:00:00,11.0345,G,M
